span,citation_class,cite_type,author,year,title,journal_series,volume,pages,place,publisher,language,resolved_abbrev,resolves_to_index,xref_kind,author_cluster_id,bib_matched,page_id,segment_id,seg_type,order,confidence,parsed_by,critic_verdict,notes
"Ebeling, AfK 2 (1924/25) 28-30",inline,journal-abbrev,Ebeling,1924/25,,AfK,2,28-30,,,,"W. Andrae (ed.), Farbige Keramik aus Assur und ihre Vorstufen in altassyrischen Wandmalereien (Berlin 1923).",-1,,18,False,page_4,0,footnote,0,0.9,llm,,
"Fragment einer Mumienbinde im Museum fur Volker- kunde in Hamburg», SAK 36 (2007) 1-14",inline,journal-abbrev,Fragment einer Mumienbinde im Museum fur Volkerkunde in Hamburg,2007,,SAK,36,1-14,,,,"1. F. Thureau-Dangin, Die sumerischen und akkadischen Königsinschriften (= VAB 1, 1907; unveränd. fotomechan. Nachdruck: 1972).
2. Studien zur altägyptischen Kultur (Hamburg 1974ff.).",-1,,28,False,page_4,0,footnote,1,0.9,llm,,
"Lucy Gordan-Rastelli, «Egypt on St Mark’s Square, Venice, Italy», KMT 19 (2008) 71-76",inline,journal-abbrev,Lucy Gordan-Rastelli,2008,"Egypt on St Mark’s Square, Venice, Italy",KMT,19,71-76,"Venice, Italy",,,,-1,,25,False,page_4,0,footnote,2,0.8,llm,,
Djedmoutefankh et Psamétique. Le Cabinet d’Uriage et sa contribution aux débuts de l’égyptologie (1843-1916,inline,journal-abbrev,Djedmoutefankh et Psamétique,1843-1916,Le Cabinet d’Uriage et sa contribution aux débuts de l’égyptologie (1843-1916),"Le chateau d’Uriage, son cabinet de curios",,,,,,,-1,,46,False,page_4,0,footnote,3,0.7,llm,,trimmed from: Djedmoutefankh et Psamétique. Le Cabinet d’Uriage et sa cont
AfO 17 [1954/56] 353,inline,journal-abbrev,Gurney,1954/56,,AfO,17,353-356,,,,Archiv für Orientforschung (Berlin/Wien [etc.] 3/1926ff; Bd. 1–2/1923–1924/1925 als AfK = Archiv für Keilschriftforschung ersch.); Beih. (1933ff.).,-1,,27,False,page_4,0,footnote,4,0.9,llm,,"trimmed from: ndlich alle Textvertreter aus Sultantepe verwertet (Gurney,"
AOTU 2/IV (1921,inline,journal-abbrev,AOTU,1921,Das babylonische Weltschdpfungslied umschrieben und iibersetzt,AOTU 2/IV,,,,,,,-1,,4,False,page_4,0,footnote,6,0.7,llm,,trimmed from: Das babylonische Weltschdpfungslied umschrieben und iiberset
"Gressmann, ATAT? (1926) 108-129",inline,journal-abbrev,H. Gressmann,1926,ATAT?,,,108-129,,,,,-1,,26,False,page_4,0,footnote,7,0.8,llm,,"trimmed from: rch Gressmann, ATAT? (1926) 108-129, wo fiir Tafel VII auch"
"Langdon, The Babylonian Epic of Creation (1923) konnte AOTU 2/IV bereits verwerten, aber die Kopien KAR 313",inline,journal-abbrev,Langdon,1923,The Babylonian Epic of Creation,AOTU,2/IV,313 ff,,,,"Altorientalische Texte und Untersuchungen, 1–2 (Leiden/Breslau 1916–1921).",-1,,40,False,page_4,0,footnote,8,0.9,llm,,"trimmed from: Langdon, The Babylonian Epic of Creation (1923) konnte AOTU"
"Creation (1923) konnte AOTU 2/IV bereits verwerten, aber die Kopien KAR 313",inline,journal-abbrev,Creation,1923,Creation (1923),AOTU,2/IV,313 ff,,,,"Altorientalische Texte und Untersuchungen, 1–2 (Leiden/Breslau 1916–1921).",-1,,14,False,page_4,0,footnote,9,0.9,llm,,"trimmed from: Creation (1923) konnte AOTU 2/IV bereits verwerten, aber die"
AfK 2 (1924/25) 28-30,inline,journal-abbrev,Ebeling,1924/25,,AfK,2,28-30,,,,"W. Andrae (ed.), Farbige Keramik aus Assur und ihre Vorstufen in altassyrischen Wandmalereien (Berlin 1923).",-1,,18,False,page_4,0,footnote,10,0.9,llm,,"trimmed from: Zu Langdons Textbearbeitung siehe Ebeling, AfK 2 (1924/25) 2"
KAR 313,inline,manuscript-ref,,,,KAR,,313,,,,"E. Ebeling, Keilschrifttexte aus Assur religiösen Inhalts, 1 (H. 1–4) –2 (H. 1–5[d. g. R. 5–9]) (= Ausgrabungen der DOG in Assur E/2 = WVDOG 28/1–4, 1915–1919; 34/1–5[d. g. R. 5–9], 1920–1923; Neudruck: Osnabrück 1972/70).",-1,,-1,False,page_4,0,footnote,11,0.55,regex,keep,
RdE 58 (2007) 201-236,inline,author-title-full,gyptiennes méconnue,2007,la collection Thédenat-Duvent,RdE,58,201-236,,,,,-1,,42,False,page_4,0,footnote,12,0.8,llm,,"trimmed from: gyptiennes méconnue: la collection Thédenat-Duvent», RdE 58"
Minerva 19 (2008) 8-13,inline,author-title-full,f the Nile from the Museum of Fine Arts Boston,2008,,Minerva,19,8-13,,,,,-1,,10,False,page_4,0,footnote,13,0.8,llm,,"trimmed from: f the Nile from the Museum of Fine Arts Boston», Minerva 19"
"S. Parpola, The Standard Babylonian Epic of Gilgamesh (1997), J",inline,author-title-full,S. Parpola,1997,The Standard Babylonian Epic of Gilgamesh,J,,,,,,,-1,,45,False,page_4,0,footnote,14,0.8,llm,,
"J. Novotny, The Standard Babylonian Etana Epic (2001) und A",inline,author-title-full,J. Novotny,2001,The Standard Babylonian Etana Epic,und A,,,,,,,-1,,44,False,page_4,0,footnote,15,0.7,llm,,
"Annus, The Standard Babylonian Anzu Epic (2001",inline,author-title-full,"Annus, A.",2001,The Standard Babylonian Anzu Epic,,,,,,,,-1,,3,False,page_4,0,footnote,16,0.7,llm,,"trimmed from: A. Annus, The Standard Babylonian Anzu Epic (2001) erschiene"
Deimel publizierte 1912,inline,author-title-full,Deimel,1912,Enuma eli3,,,,Papstliches Bibelinstitut,,,,-1,,17,False,page_4,0,footnote,17,0.7,llm,,trimmed from: Deimel publizierte 1912 im Papstlichen Bibelinstitut Enuma e
"Gurney, STT I [1957] und II [1964], AfO 17 [1954/56] 353",inline,author-title-full,Gurney,1957,STT I,AfO,17,353-356,,,,Archiv für Orientforschung (Berlin/Wien [etc.] 3/1926ff; Bd. 1–2/1923–1924/1925 als AfK = Archiv für Keilschriftforschung ersch.); Beih. (1933ff.).,-1,,27,False,page_4,0,footnote,18,0.9,llm,,"trimmed from: Sultantepe verwertet (Gurney, STT I [1957] und II [1964], Af"
"Ebelings Ubersetzung wurde ersetzt durch Gressmann, ATAT? (1926) 108-129",inline,author-title-full,Ebelings Ubersetzung wurde ersetzt durch Gressmann,1926,ATAT?,,,108-129,,,,,-1,,26,False,page_4,0,footnote,19,0.8,llm,,"trimmed from: Ebelings Ubersetzung wurde ersetzt durch Gressmann, ATAT? (1"
"Schott, OLZ 45 (1942",inline,journal-abbrev,Schott,1942,,OLZ,45,,,,,Orientalistische Literaturzeitung. Monatsschrift für die Wissenschaft (bis Bd. 23/1920: vom Vorderen Orient und seine Beziehungen zum Kulturkreise des Mittelmeeres) vom ganzen Orient und seine(n) Beziehungen zu den angrenzenden Kulturkreisen (Berlin/Leipzig 1898ff.).,-1,,48,False,page_4,1,footnote,20,0.9,llm,,"trimmed from: Schott, OLZ 45 (1942)"
"Wilson, JNES 20 (1961",inline,journal-abbrev,Wilson,1961,,JNES,20,,,,,Journal of Near Eastern Studies (Chicago 1942ff.). Fortsetzung von: AJSL.,-1,,52,False,page_4,1,footnote,21,0.9,llm,,"trimmed from: Wilson, JNES 20 (1961)"
Rykle Borger Le poéme babylonien de la Création (1935,inline,journal-abbrev,Rykle Borger,1935,Le poéme babylonien de la Création,,,KAR 313 ff,,,,,-1,,9,False,page_4,1,footnote,22,0.8,llm,,trimmed from: 272 Rykle Borger Le poéme babylonien de la Création (1935) k
OLZ 45 (1942) Sp. 165-172,inline,journal-abbrev,Schott,1942,,OLZ,45,Sp. 165-172,,,,Orientalistische Literaturzeitung. Monatsschrift für die Wissenschaft (bis Bd. 23/1920: vom Vorderen Orient und seine Beziehungen zum Kulturkreise des Mittelmeeres) vom ganzen Orient und seine(n) Beziehungen zu den angrenzenden Kulturkreisen (Berlin/Leipzig 1898ff.).,-1,,48,False,page_4,1,footnote,24,0.9,llm,,"trimmed from: Zu Labats Textbearbeitung siehe Schott, OLZ 45 (1942) Sp. 16"
OLZ 64 (1969) 456-458,inline,journal-abbrev,In meiner Rezension zu L&P in OLZ 64 (1969) 456-458 habe ich mich bemiiht,1969,,OLZ,64,456-458,,,,Orientalistische Literaturzeitung. Monatsschrift für die Wissenschaft (bis Bd. 23/1920: vom Vorderen Orient und seine Beziehungen zum Kulturkreise des Mittelmeeres) vom ganzen Orient und seine(n) Beziehungen zu den angrenzenden Kulturkreisen (Berlin/Leipzig 1898ff.).,-1,,5,False,page_4,1,footnote,25,0.9,llm,,trimmed from: In meiner Rezension zu L&P in OLZ 64 (1969) 456-458 habe ich
JNES 20 (1961) 154-179,inline,journal-abbrev,Fir Tafel V liegt die stark erweiterte Bearbeitung von Landsberger und Kinnier Wilson,1961,,JNES,20,154-179,,,,Journal of Near Eastern Studies (Chicago 1942ff.). Fortsetzung von: AJSL.,-1,,39,False,page_4,1,footnote,26,0.9,llm,,trimmed from: Fir Tafel V liegt die stark erweiterte Bearbeitung von Lands
"Lambert behandelt in CRRA 39 (Heidelberger Studien zum Alten Orient 6, 1997",inline,journal-abbrev,Lambert,1997,CRRA 39,Heidelberger Studien zum Alten Orient,6,S,,,,,-1,,38,False,page_4,1,footnote,27,0.8,llm,,trimmed from: Lambert behandelt in CRRA 39 (Heidelberger Studien zum Alten
"Als ich 1978 OECT 6 durchkollatonierte, umschrieb ich jed",inline,journal-abbrev,"Als ich 1978 OECT 6 durchkollatonierte, umschrieb ich jed",1978,,OECT 6,,,,,,,-1,,1,False,page_4,1,footnote,28,0.7,llm,,
In HKL I-II ist das bis 1973 bekannte Textmate,inline,journal-abbrev,HKL,,Textmate,,I-II,bis 1973,,,,,-1,,30,False,page_4,1,footnote,29,0.65,llm,,
Labats Manuel (1948,inline,journal-abbrev,Labats Manuel,1948,Sprache. Labats Manuel,,,,,,,,-1,,41,False,page_4,1,footnote,30,0.7,llm,,"trimmed from: Sprache. Labats Manuel (1948), einst ein vorziigliches Handb"
"Ant. Saubin, Lexique assyrien-francais (Paris [1928",inline,journal-abbrev,Ant. Saubin,1928,Lexique assyrien-francais,,,,Paris,,,,-1,,47,False,page_4,1,footnote,31,0.7,llm,,"trimmed from: Ant. Saubin, Lexique assyrien-francais (Paris [1928])? - das"
"Bottéro, Lorsque les dieux faisaient Vhomme (1989) 602-679, Dalley, Myths (2000) 228-277",inline,author-title-full,"Bottéro, Lorsque les dieux faisaient Vhomme (1989) 602-679, Dalley, Myths (2000) 228-277 u","1989, 2000",,,,"602-679, 228-277",,,,,-1,,11,False,page_4,1,footnote,38,0.6,llm,,"trimmed from: Ubersetzungen lieferten Bottéro, Lorsque les dieux faisaient"
